Airport,Iata,city_id
Dallas Love Field,KDAL,2787
NAS Fort Worth JRB/Carswell Field,KNFW,2788
Collin County Regional At Mc Kinney Airport,KTKI,2789
Dallas Executive Airport,KRBD,2790
Dallas Fort Worth International Airport,KDFW,2791
Dalton Municipal Airport,KDNN,2792
Daly City BART Station,\N,2793
Danbury Municipal Airport,KDXR,2794
Fort Lauderdale-Hollywood International Airport Station at Dania Beach,\N,2795
Vermilion Regional Airport,KDNV,2796
Danville Regional Airport,KDAN,2797
Darien Station,\N,2798
Darlington County Jetport Airport,KUDG,2799
University Airport,\N,2800
Yolo County Davis Woodland Winters Airport,KDWA,2801
James M Cox Dayton International Airport,KDAY,2802
Wright-Patterson Air Force Base,KFFO,2803
Dayton-Wright Brothers Airport,KMGY,2804
Mark Anton Airport,\N,2805
Daytona Beach International Airport,KDAB,2806
De Kalb Taylor Municipal Airport,\N,2807
Deadhorse Airport,PASC,2808
Dearborn Amtrak Station,\N,2809
Furnace Creek,\N,2810
Decatur Airport,KDEC,2811
Deer Harbor Seaplane,\N,2812
Deerfield Beach Station,\N,2813
Deering Airport,PADE,2814
DeFuniak Springs Airport,\N,2815
Laughlin Air Force Base,KDLF,2816
Del Rio International Airport,KDRT,2817
Deland Municipal Sidney H Taylor Field,KDED,2818
DELETE,\N,2819
Dell Flight Strip,K4U9,2820
Delray Beach Station,\N,2821
Delta Municipal Airport,KDTA,2822
Allen Army Airfield,PABI,2823
Delta Junction Airport,\N,2824
Deming Station,\N,2825
Deming Municipal Airport,KDMN,2826
Denali Train Depot,\N,2827
Kahiltna Glacier Base Camp Airstrip,\N,2828
Denton Municipal Airport,KDTO,2829
Denver International Airport,KDEN,2830
Centennial Airport,KAPA,2831
Stapleton,\N,2832
Denver Union Station,\N,2833
Stapleton International Airport,DENX,2834
Front Range Airport,KFTG,2835
Buffalo-Depew Station,\N,2836
Beauregard Regional Airport,KDRI,2837
Des Moines International Airport,KDSM,2838
Destin Executive Airport,KDTS,2839
Detroit Metropolitan Wayne County Airport,KDTW,2840
Coleman A. Young Municipal Airport,KDET,2841
Willow Run Airport,KYIP,2842
Detroit Amtrak Station,\N,2843
Devils Lake Regional Airport,KDVL,2844
Dicka,DICK,2845
Dickinson Theodore Roosevelt Regional Airport,KDIK,2846
Dillingham Airport,PADL,2847
Dillingham Airfield,PHDH,2848
Dodge City Regional Airport,KDDC,2849
Dodge City Station,\N,2850
Dothan Regional Airport,KDHN,2851
Bisbee Douglas International Airport,KDUG,2852
Douglas Municipal Airport,KDGL,2853
Douglas Municipal Airport,KDQH,2854
Dover Air Force Base,KDOV,2855
Dowagiac Municipal Airport,\N,2856
